stock,horizon,model,bootstrap,bias2,var,noise,mse,bias_share,var_share,noise_share
2653e96292d24c64b27c0b70de53b2f9,10,garch,stationary,2.6159816547071537e-06,2.8910098334615334e-08,0.0,2.6443135510750767e-06,0.9892857273463639,0.010932931279220497,0.0
2653e96292d24c64b27c0b70de53b2f9,60,garch,stationary,3.6690812131951664e-05,3.827861741970202e-08,0.0,3.672832517702298e-05,0.9989786344765107,0.0010422097178460208,0.0
26f4296741054f9da7e7848521a80526,1,garch,stationary,9.614706864125699e-06,2.430334841940695e-07,0.0,9.852879678635887e-06,0.9758270858593128,0.02466623891906869,0.0
26f4296741054f9da7e7848521a80526,5,garch,stationary,3.157395541928369e-05,7.846155272844425e-08,0.0,3.165084774095757e-05,0.997570607830059,0.002478971601980556,0.0
26f4296741054f9da7e7848521a80526,10,garch,stationary,6.960616640787808e-05,1.2941622729492703e-08,0.0,6.961884919815298e-05,0.9998178253386693,0.00018589251156188387,0.0
26f4296741054f9da7e7848521a80526,60,garch,stationary,0.0005380432894607271,1.7125455800749534e-08,0.0,0.0005380600724074119,0.999968808414626,3.182814834062314e-05,0.0
2aeef69f03154de5835b9ba611d16172,1,garch,stationary,2.116571253585654e-06,4.335345743136065e-07,0.0,2.5414351364129878e-06,0.8328252109447924,0.17058651944408953,0.0
2aeef69f03154de5835b9ba611d16172,5,garch,stationary,2.429607867976481e-06,1.3703261959669948e-07,0.0,2.5638998351812465e-06,0.9476219915606523,0.05344694738708949,0.0
2aeef69f03154de5835b9ba611d16172,10,garch,stationary,3.5545865034719105e-06,1.247457482258132e-07,0.0,3.6768373367332066e-06,0.9667510901175973,0.0339274590636765,0.0
2aeef69f03154de5835b9ba611d16172,60,garch,stationary,5.560557699024953e-05,6.291951521822998e-07,0.0,5.622218823938817e-05,0.9890325996115061,0.011191224886218461,0.0
